date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2012-05-15,AMGN,70.02,70.77,70.0,70.68,3779866,Event16,0.424448217317
2012-05-14,AMGN,69.95,70.71,69.58,70.2,4067659,Event16,0.683760683761
2012-05-11,AMGN,70.14,71.13,69.92,70.78,4666883,Event16,-0.819440519921
2012-05-10,AMGN,70.05,70.24,69.69,70.09,3491570,Event16,0.984448566129
2012-05-09,AMGN,70.26,70.56,69.57,69.62,4001643,Event16,0.675093363976
2012-05-08,AMGN,69.34,70.78,69.25,70.7,5063331,Event16,-1.52758132956
2012-05-07,AMGN,69.33,70.0,69.27,69.61,4184473,Event16,1.56586697314
date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2012-08-16,PFE,24.07,24.08,23.83,24.02,21251895,Event11,[]
2012-08-15,PFE,23.98,24.18,23.97,24.04,17845206,Event11,-0.0831946755408
2012-08-14,PFE,23.85,24.08,23.83,23.98,23737339,Event11,0.250208507089
2012-08-13,PFE,23.81,23.87,23.66,23.72,23039603,Event11,1.09612141653
2012-08-10,PFE,23.86,23.94,23.75,23.94,19814200,Event11,-0.918964076859
2012-08-09,PFE,23.83,24.06,23.72,23.87,24557895,Event11,0.293255131965
2012-08-08,PFE,23.71,23.9,23.7,23.83,30333188,Event11,0.167855644146
2012-08-07,PFE,24.0,24.05,23.73,23.74,56376972,Event11,0.379106992418
2012-08-06,PFE,24.24,24.37,24.2,24.26,25841175,Event11,-2.14344600165
2012-08-03,PFE,24.1,24.33,24.09,24.28,33080334,Event11,-0.0823723228995
2012-08-02,PFE,23.81,24.0,23.63,23.92,30123482,Event11,1.50501672241
2012-08-01,PFE,23.92,24.18,23.73,23.94,42545950,Event11,-0.0835421888053
2012-07-31,PFE,23.91,24.48,23.9,24.04,55314659,Event11,-0.415973377704
2012-07-30,PFE,23.77,23.84,23.57,23.71,29691184,Event11,1.3918177984
2012-07-27,PFE,23.67,23.94,23.51,23.82,34561272,Event11,-0.461796809404
date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2012-12-14,PFE,25.22,25.37,25.15,25.18,25926590,Event6,[]
2012-12-13,PFE,25.43,25.65,25.32,25.33,26458302,Event6,-0.592183181998
2012-12-12,PFE,25.62,25.75,25.44,25.51,29837444,Event6,-0.705605644845
2012-12-11,PFE,25.53,25.78,25.52,25.64,30689306,Event6,-0.507020280811
2012-12-10,PFE,25.42,25.6,25.36,25.41,26889815,Event6,0.90515545061
2012-12-07,PFE,25.53,25.61,25.16,25.56,30767376,Event6,-0.586854460094
2012-12-06,PFE,25.55,25.78,25.52,25.61,31461824,Event6,-0.195236235845
2012-12-05,PFE,25.14,25.78,25.14,25.64,45534436,Event6,-0.117004680187
2012-12-04,PFE,25.04,25.27,25.02,25.16,30320198,Event6,1.90779014308
2012-12-03,PFE,25.04,25.3,25.0,25.09,28283219,Event6,0.278995615783
2012-11-30,PFE,24.91,25.08,24.72,25.02,37205228,Event6,0.279776179057
2012-11-29,PFE,24.71,24.93,24.71,24.85,31644038,Event6,0.684104627767
2012-11-28,PFE,24.23,24.69,24.15,24.67,29565777,Event6,0.729631130928
2012-11-27,PFE,24.26,24.45,24.22,24.25,30872681,Event6,1.73195876289
2012-11-26,PFE,24.34,24.52,24.31,24.48,35772028,Event6,-0.93954248366
date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2012-02-13,GILD,26.89,27.48,26.86,27.45,14038866,Event21,[]
2012-02-10,GILD,26.8,26.98,26.71,26.88,14492910,Event21,2.12053571429
2012-02-09,GILD,27.2,27.2,26.77,26.86,15745684,Event21,0.0744601638124
2012-02-08,GILD,27.28,27.45,26.92,27.14,23591842,Event21,-1.03168754606
2012-02-07,GILD,27.6,27.94,27.33,27.54,27495420,Event21,-1.45243282498
2012-02-06,GILD,27.15,28.25,27.12,28.01,37824982,Event21,-1.6779721528
2012-02-03,GILD,26.7,27.45,26.5,27.35,75343010,Event21,2.41316270567
2012-02-02,GILD,24.56,24.82,24.18,24.66,17363440,Event21,10.9083536091
2012-02-01,GILD,24.52,24.7,24.44,24.58,19617494,Event21,0.325467860049
2012-01-31,GILD,24.22,24.44,24.18,24.43,13314702,Event21,0.613999181334
2012-01-30,GILD,24.24,24.44,24.0,24.32,14155398,Event21,0.452302631579
2012-01-27,GILD,24.29,24.5,24.17,24.36,16364132,Event21,-0.164203612479
2012-01-26,GILD,24.28,24.39,23.92,24.3,18193180,Event21,0.246913580247
2012-01-25,GILD,23.72,24.24,23.72,24.14,15804680,Event21,0.6628003314
2012-01-24,GILD,23.66,23.93,23.54,23.84,15147212,Event21,1.25838926174
date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2013-02-01,BIIB,157.28,158.39,155.16,157.3,1161996,Event4,[]
2013-01-31,BIIB,154.5,156.87,154.04,156.08,1337073,Event4,0.781650435674
